"LA","LDMC","LMA","Lth","Nmass","SM","SSD","H","IDmaster"
13.802,426.4214047,76.07593102,0.0825,45.0694325,4.2,0.5392945,4,1
19.11354839,427.6883323,115.1015999,0.201666667,41.19977,5.9,0.497416667,1,2
1814.585333,64.39979709,109.1158384,1.4665,11.98772667,0.013,0.362497333,2,3
10400.04,40.66479917,198.2684682,3.45,6.062063333,0.0265,0.3658820083,0.4,4
1679.8485,72.0055466,166.8801284,3.355,10.2946975,0.1,0.419582333,1,5
10202.06444,38.89594777,129.0915194,2.468,8.864043333,0.023,0.40525635655,1.2,6
2477.893986676,54.8112809444,90.8958306378999,2.26641599997,7.3736706364,0.0255,0.35207192823,0.6,7
735.607,58.52923523,180.3499242,5.525,7.229606667,0.0085,0.592806667,0.4,8
425.5755,28.28889907,81.06669674,6.4435,8.63918,0.70285328572,0.4681485,0.5,9
3936.0712,72.33332141,270.913121,4.28525,8.415253333,0.0195,0.384444,0.6,10
46.23,76.12546487,126.9017233,2.360666667,7.707383333,0.026,0.556132333,0.4,11
575.175,51.36638056,105.4751452,2.03775,12.06684333,0.089,0.288473333,0.6,12
197.007,76.39115173,63.4495221,0.920333333,13.53073667,0.064,0.407611667,0.6,13
972.4886667,38.74490695,78.83553742,3.085333333,4.584776667,0.0276,0.238987,0.6,14
4066.661,80.71205357,271.7626738,3.511,9.614633333,0.058,0.371798,0.9,15
395.938,57.25806232,145.6456987,3.793,8.556913333,0.0355,0.731021,0.4,16
864.9656667,56.05416473,45.08849484,0.686666667,24.89974667,0.0085,0.124290667,0.3,17
862.383,43.32383124,34.78732767,0.742,27.654595,1.15093706494,0.109623333,0.65,18
184.6206,36.33530023,25.99926552,0.5616,15.974738,0.738058,0.219964,0.1,19
423.28460507461,51.4503262237,79.682317322,2.10902266671,16.87614319682,0.32265895239,0.21143113494,0.2,20
231.4236,42.95492859,40.33008446,0.989333333,10.90066,0.0774,0.178440667,0.6,21
511.23739302155,53.1539290739,80.9908206514,1.46160083338,15.67149752678,0.3747929524,0.24747711675,0.15,22
280.9858621,105.4766372,63.4670129,0.722333333,34.44972,11.96,0.262729333,0.01,23
186.18225,273.5521488,48.33973163,0.32,11.69626,0.6464,0.639240333,1.2,24
5772.982629135,183.5499849703,71.3671249508,0.1789711667,25.274012914,6.002857143,0.18969998676,0.2,25
1949.88227420587,426.239604876,124.7610656396,0.25084683327,23.5098095675,215.865,0.63592485914,3,26
796.2245,113.7551174,19.46687147,0.1355,22.977655,0.127,0.292027667,1,27
51.10333333,432.3232323,39.13639032,0.0766,5.93687,32.90706054046,0.694834333,0.6,28
3026.983077,449.1306444,142.8784334,0.235,11.96153,504.94,0.725459,25,29
6267.486875,419.5563561,149.8208163,0.2655,14.63882,3.31,0.594729,10,30
1464.560667,124.205006,31.18113691,0.289333333,31.96253,5.336,0.413522,1.2,31
2001.155667,149.8985092,74.01972893,0.225333333,27.567755,1.93,0.58885325,1.5,32
1246.325,100.8680729,43.59483548,0.3745,20.72538667,10.466,0.554402667,1.2,33
228.548,159.5528106,86.05048684,0.876666667,15.56611667,2.39,0.44058,1,34
8486.2776983534,140.6548825283,59.3447606887,0.26461116666,23.2600343671,3.222,0.28276,0.6,35
180.237,231.3835436,50.55010902,0.567666667,19.64173,3.494,0.508309,1.2,36
600.1253333,171.2875824,57.76571116,0.24,21.20759,5.222,0.622538333,0.5,37
187.5866667,323.5294118,97.73082664,0.29,17.14525,0.6,0.504775,0.9,38
298.9966667,183.942656,89.55841202,0.498,20.95407,2.99,0.478274667,0.5,39
6592.897,87.55211435,22.29672328,0.302,36.66539,9.51173005628,0.161776,0.4,40
114.181,460.1151572,115.3139898,0.28,18.895835,1.048,0.563235,0.8,41
371.5951613,365.4346129,59.65273226,0.143333333,27.26521667,3.802,0.28687,1,42
80.45233333,275.8510102,48.47590913,0.387666667,28.04136,9.1240198776,0.717545,0.8,43
65.715,237.713554,33.98513784,0.329666667,31.68480333,2.27179937585,0.66792,0.3,44
794.9621053,309.3197499,73.79806695,0.159,19.85243333,0.07,0.563794,1,45
1109.60724324837,238.7183780162,76.7888835698,0.31148000006,21.81045762493,0.195,0.45844583411,1.5,46
93.944,320.2973497,211.4735019,0.674333333,16.3145275,17.68285714,0.688318,2,47
12.863,323.5294118,85.51659799,0.459,13.33008,52.42941176,0.445435,2,48
39.60925,223.8530887,65.64123279,0.526,15.592075,21.02571429,0.457523667,1,49
21.38428571,445.505033,115.3495001,0.33,22.68532333,22.32,0.519683333,4,50
3.907333333,366.6666667,58.86367514,0.186,24.479535,25.89428571,0.4526295,3,51
17.23566667,306.3879453,116.0384474,0.508,18.46627,26.76857143,0.618475333,5,52
209.936727413,302.087314846,72.3614618246,0.16657416673,27.758071782,1.806,0.5031617708,0.6,53
31640.367,66.72959454,90.42246571,0.9105,14.70160667,3.864,0.063726667,0.4,54
1318.623,200,54.60241479,0.282,20.15962,4.7955445713,0.6647695,2,55
970.8442105,201.9414142,100.5997313,0.541666667,15.06903,2.13204428572,0.546712333,1.5,56
765.59,220.2680325,65.30910801,0.379,24.10278667,2.92361515151,0.52486,1,57
1041.869355,180.0730329,62.06792278,0.255,17.61543,3.06205873622,0.376910333,1.6,58
2026.4317752028,163.1986737066,60.4781384418,0.26621733332,19.8711078511,5.07204714273,0.3819393057,0.8,59
8880.91139526112,184.0287179771,59.0363961955,0.19905000007,22.2340722079,3.83658847619,0.44093299743,0.3,60
615.28355757893,309.890557148,67.331273129,0.15370433327,20.9603796534,16.565,0.37390968853,0.75,61
1825.830833,292.6757609,21.54270407,0.114333333,13.59016,16.99,0.20909,1.5,62
14119.76643,369.1451751,81.65857458,0.1965,18.6155425,5.232,0.56020975,6,63
2392.407333,400.7404061,173.4654439,0.337333333,19.02322667,12.588,0.527407,1,64
2769.466333,261.2310296,79.43768709,0.225666667,24.96875667,16.634,0.494523,3,65
202.222,361.2120524,49.45060379,0.069,17.69435333,3.322,0.453093667,0.4,66
988.9708940724,254.184859671,82.8773758427,0.23893816673,31.9654253939,5.116,0.55736120843,0.5,67
10072.323,129.281768,34.84796903,0.577,35.18841,18.47714286,0.190831,2,68
7.566666667,833.3333333,88.10572687,0.111333333,23.37359,83.73947013139,0.441177,0.25,69
771.298,408.0640175,140.8880441,0.318333333,21.88991333,2.292,0.662578333,2,70
6014.346676472,173.7681712777,69.015828432,0.19089066669,23.0759408802,0.177,0.23070141167,0.35,71
2113.145,406.6480672,86.52190613,0.388,13.00852,0.131,0.437885,2,72
2148.55213631629,264.3401593021,83.8791681692,0.32258666674,18.2698687003,25.68444334918,0.405893,3,73
228.3363333,283.6447467,96.34909906,0.244666667,20.42272,0.215,0.518051333,1.7,74
297.5988571,386.2562587,94.08638282,0.265,18.34980667,2.60397992064,0.552686667,1.5,75
1501.08188479781,204.1867879006,60.0462604011,0.1878323334,20.5800443412,2.43594863492,0.388197,0.35,76
115.979,202.1473426,208.0836473,1.751666667,10.58204,0.106,0.642814667,2,77
3105.111667,139.2861333,25.54926903,0.168333333,32.70938333,4.29,0.072435333,3,78
24070.61133,150.1200975,65.3263148,0.216666667,23.38108667,3.02978023806,0.257434,0.8,79
200.813,304.0416412,71.37652111,0.064,14.12251333,4.12567872295,0.307711333,0.7,80
1775.329375,249.6451212,39.80482026,0.183,19.72583,1.4876,0.230590667,1.6,81
1817.13625,289.9751895,95.20474868,0.254,16.73057333,0.442,0.197999,1.6,82
6149.512,209.6226909,40.59942751,0.177333333,25.01937667,3.34137931,0.122923667,1.4,83
1347.169474,342.1845059,111.3445657,0.2715,13.15908333,0.62,0.543154333,2,84
388.524,280.27099,77.64428109,0.202666667,18.10897333,1.7,0.440099,0.6,85
2225.914,248.2426272,21.18979739,0.25,20.38321333,8.712,0.64101,3,86
6204.527333,152.9195599,22.29554741,0.133,39.06620333,1.416,0.180014,2,87
789.89861608796,200.7010740962,70.0431608118,0.35765750003,20.73153965787,0.257,0.55661949581,0.5,88
1415.126,108.6538462,4.769893282,4.134333333,7.991096667,4.442857143,0.29162862662,1.5,89
767.89,214.2857143,7.813619138,8.357666667,13.49097667,6.688571429,0.1311086,1,90
231.97625,435.4539432,91.06535691,0.235,27.63143667,20.80571429,0.6199275,5,91
2304.071667,194.1331757,57.43455607,0.209,21.07126667,4.494,0.49482,1.5,92
903.366,300.8709081,84.129799,0.215,18.68463,4.83,0.60308,1.5,93
2912.7270644991,177.0921646987,79.1537033384,0.306435,20.2783291935,3.867,0.54866773332,2.5,94
8298.38363021,168.7569621047,61.2932195588,0.24850433336,20.2636151014,4.08882114282,0.50378156097,1,95
524.48875,226.3253935,108.04172,0.324,22.88705667,5.338,0.507361,1.5,96
2159.247,209.5983621,44.15119407,0.2422066667,18.97592667,3.246,0.649475,2,97
2160.72270451637,135.6732399965,70.070936564,0.30799749996,22.9697652084,0.7449,0.19421571837,0.5,98
13.963,133.4029313,56.10064695,0.719666667,22.28165333,3.09743294799,0.741325333,0.5,99
1092.1959260864,229.5311813832,67.3913238142,0.32724416667,21.12931634157,0.876717285710001,0.45155214495,0.3,100
494.63926499477,329.660075544,81.1584197795,0.24764000001,25.8738762252,33.04857143,0.55698447583,1,101
537.4608330859,300.684882363,86.5902287478,0.28038166681,19.8228154422,0.435,0.628133466770001,0.45,102
806.6043333,372.2103767,148.3585715,0.267666667,18.11719667,0.346,0.64473,1.5,103
1618.376,459.674155,127.6999288,0.1555,12.719555,0.371,0.734288667,2,104
3296.2005,322.6542384,84.23840318,0.2585,19.13172333,5.134,0.4613095,10,105
2158.463333,310.7109439,87.09900099,0.218666667,16.29000667,4.988,0.802549333,4,106
291.4573333,329.5576033,54.66780729,0.343666667,23.93244333,4.519,0.543121667,1.5,107
314.468,349.8079349,67.30944537,0.180666667,19.5019,6.196,0.521461667,2,108
312.688,361.3230324,15.45736751,0.47,15.38453333,4.81,0.708344333,2,109
1014.5476744254,268.9248241104,74.8586037248,0.45528833338,16.95901010499,3.07653386575,0.48721274724,1.961,110
12251.69765,195.3658559,171.4048176,0.386666667,25.35250333,1.345,0.490980667,1.5,111
3308.9029423693,218.4666561737,83.6600089808,0.34995416671,26.5132757483,1.503,0.49226046264,0.5,112
7033.33375,181.4886161,94.8341176,0.50475,22.10829333,2.142,0.485737667,1,113
25144.21857,145.9057541,46.80775145,0.313,37.27471667,1.65,0.46390834756,1.5,114
2386.811,122.9194796,118.5682486,1.222,13.636725,0.928571429,0.353739,0.45,115
6201.346667,149.8145821,20.96318864,0.142333333,34.01216667,1.384,0.251279,1,116
74702.73333,185.4276884,157.9594142,0.333,15.61579,3.56,0.39267396829,1,117
1163.90200217233,230.908868741,70.7953210302,0.29861033334,18.6863534333,1.092,0.28679248391,0.5,118
107.2634783,155.8441558,44.74962101,0.212,12.11942,13.36129255774,0.34712054772,0.2,119
569.0035,349.9941058,96.07439439,0.058,30.026585,7.90202889099001,0.47249875,1,120
443.7473333,322.092159,30.42271803,0.1535,25.62377333,0.398,0.318046667,0.6,121
58.26933333,310.1953602,63.1321221,0.211333333,37.19164667,0.1515,0.573541333,1,122
55.78633333,282.2215559,130.3186563,0.267,32.78109333,2.80623232964,0.565531,1.5,123
144.811,291.9031644,61.68960461,0.169666667,31.73378,0.1245,0.707006667,0.8,124
158.0593333,290.1763453,40.49112359,0.224666667,29.50339,0.247,0.758516,0.8,125
47.16655172,298.0414122,235.9228364,1.275666667,8.084536667,9.99052947614,0.5726725,1,126
341.5710882138,291.84699762,72.4324993917,0.18418500004,27.6476741054,1.65,0.49057645584,1.5,127
496.3085069352,257.680998697,77.8429693043,0.22135500003,25.7241370868,1.642,0.47223930417,2,128
530.9248023436,246.85057808,77.2274530393,0.24148833337,24.7013926885,1.487,0.50466846083,2,129
19956.10571,193.720868,341.5245488,2.36,9.204625,235.72,0.249017,20,130
4818.693834,105.2133741,107.7747037,0.096,28.76251,40.59,0.062886,1.5,131
12440.558,99.74600324,75.07701825,0.506,17.16792,5.98,0.28128146246,1.5,132
1199.439231,136.8177388,20.84307346,0.1555,29.56538667,3.36071733332,0.104195333,0.3,133
362.545,233.7523719,34.63202269,0.089666667,20.02794,6.31676645666,0.387715,0.4,134
140.829,190.7341874,211.8408377,0.628,14.920895,3.094,0.497686333,2,135
3927.448235,163.7181525,157.3328608,0.769,25.52772333,0.882,0.31450600374,0.8,136
300.2983333,180.7514803,53.83535262,0.258333333,18.41337,3.01538557148,0.227994333,0.25,137
2525.643,175.226347,65.72583695,0.2395,19.215815,2.394,0.496256,2.5,138
568.138,251.0060053,134.6503842,0.298666667,17.17636333,3.262,0.579877333,1.5,139
44363.06846,119.8639668,110.4171669,0.435,24.05198667,3.166,0.295466,2,140
4072.6288,226.6595588,54.59209377,0.277333333,24.67725,1.982,0.464902,1,141
1644.7834837333,232.983212176,90.0309236984,0.28713166673,20.43186204177,4.99645799982,0.42527706806,1.5,142
838.526,184.2724789,67.47942222,0.34975,21.5755875,2.00385401003,0.232826333,0.5,143
1555.077667,262.3559901,144.2371689,0.365666667,15.8213375,2.392,0.5023326,2,144
8729,202.2229734,152.9862145,1.397,16.34557,2.646,0.117757,3,145
2939.35181835327,514.178364204899,78.4416885586,0.25690600003,11.2626072496,10.10376493537,0.6105262067,17.058,146
325.303,419.4312796,544.1081084,1.552,16.58374,7.974285714,0.584593,2,147
743.7062872001,340.5231843353,96.7983443084,0.34935833335,13.5269194497,9.3652,0.613814,2,148
6.357428571,496.9834087,120.593831,0.237333333,12.58352667,0.019142857,0.6193,12,149
13.65733333,509.9727433,183.0518403,0.299666667,12.71953333,85.38107190466,0.7148,6,150
580.93875,193.61553,72.0098863,0.196,26.68057333,0.163,0.36506778251,0.25,151
820.77389128193,260.321951914,89.9193919111,0.27094200008,30.24090338017,0.138,0.58059838435,0.3,152
985.70295502023,265.477076493,90.7067271659,0.22555000004,30.5458083134,0.214,0.58174576518,0.3,153
260.966,206.7689804,40.87377922,0.074333333,27.72215,1.306,0.622123333,1.2,154
214.919,224.4839031,88.40539924,0.292666667,34.35327,1.014,0.606833333,1,155
348.2555,188.8880030391,161.30252335858,6.566,7.068315,2.092,0.207738333,0.8,156
930.286,201.4612728,69.15436042,0.252333333,15.90739333,4.888,0.338875333,2,157
222.6333333,244.275265,104.8061087,0.418,16.16107667,5.856,0.238769333,2,158
757.911,225.5892256,58.93436037,0.178,17.80516,19.344,0.337519,3,159
5020.386088302,208.1461271851,48.1827015649,0.36498099997,23.5617538851,9.518,0.096924,3,160
363.792,207.837916,65.97176408,0.281666667,27.55135,2.588301,0.284565667,2,161
1250.449231,205.3802067,51.18160612,0.155,18.03745,20.492,0.27985484737,15,162
4901.804,196.7126193,37.84321038,0.144,21.45614,31.435,0.108821,3,163
276.223,344.748275,193.6840886,0.3575,13.508665,15.78483361934,0.643865,0.6,164
338.173,252.2609609,56.84171514,0.257333333,25.06195667,13.23666933715,0.259622667,2,165
5.921,768.5185185,106.9639138,0.235,17.34254,77.81555127175,0.751259667,0.3,166
8.100333333,426.4705882,67.89844039,0.2055,19.40995333,17.28232836987,0.827275,0.3,167
249.5446667,165.5107142,15.58438436,0.051,24.81398667,7.89961972489,0.152782,0.8,168
383.213,135.8793667,23.19597717,0.130333333,32.80666667,3.55033974691,0.285788667,0.8,169
13296.35857,133.3179491,28.42883621,0.150666667,27.32897667,2.24,0.211985333,1,170
704.1435,321.1470391,178.4674099,0.066,18.39117,0.192,0.430578333,5,171
955.580281387411,269.2042110885,135.0518643845,0.46980366671,16.6078091615,0.011,0.6703245,2,172
2686.631429,235.4548686,56.73151332,0.209666667,22.46676667,0.152,0.656868,1.5,173
3688.812667,170.3441861,100.484004,0.563333333,12.64503333,0.227,0.550375,0.4,174
172.9846,61.95853557,79.77588756,1.5132,7.684988,0.0930645714300002,0.43790561489,0.2,175
4974.884615,95.77281672,258.1857536,2.978,8.30775,0.0565,0.41063820322,0.45,176
1340.694667,67.49219408,133.5128754,2.459333333,6.807413333,0.033,0.42898591983,0.45,177
36.721,138.1352985,104.3907664,1.542333333,19.56423333,0.018,0.768141333,0.4,178
1936.435,47.5726053,34.08325092,0.658,28.000738,5.38002671476,0.1955066783,0.4,179
1871.785,440.2451481,153.5074808,0.385,13.48842,48.3,0.623617,10,180
7484.413158,331.6360483,103.1476996,0.303,14.71711,62.11,0.394157,6,181
615.277,245.7697205,51.19645298,0.235,20.83386667,0.696,0.573589,0.5,182
56.873,378.4266624,102.9545361,0.273666667,17.36973,0.225,0.631818,0.25,183
91.70166667,300.5733006,108.1405282,0.280666667,23.38548333,0.844,0.4533525,0.6,184
628.1811872013,274.442925939,85.2413069836,0.27912100011,22.2271455907,1.033,0.56215627831,0.4,185
431.734,200.3900545,91.36258282,0.352,30.08000333,5.56521095239,0.345179333,0.3,186
4.5385,333.3333333,77.11799053,0.321,20.02096,9.27780798183,0.72533,0.7885,187
5086.59614597887,187.2114381013,85.66296495898,0.61756766661,21.16161491987,0.002733333,0.28991559492,0.7,188
154.133,309.8591549,142.7338727,0.198,13.630925,0.342,0.57586521833,0.9,189
375.9216667,406.5521889,57.19276622,0.08,20.31695333,0.08,0.471335333,4,190
430.9073333,286.4766598,45.12416436,0.093666667,20.9681,0.024333333,0.557606333,2,191
2290.5345,271.5009502,35.94503088,0.146,29.78982,0.039,0.433235,1.5,192
216.724,353.6416421,89.72087386,0.186666667,14.30832333,0.0225,0.5441545,1.5,193
2297.55961714162,132.4917241884,71.0741071492,0.31015333332,21.5938166216,0.422,0.347542667,0.2,194
2288.898,461.0810811,248.4457586,0.648,8.13622,179.685,0.644073,10,195
5727.93875,359.8615917,121.0440667,0.467,14.5681,186.24,0.55036,15,196
2637.47,242.8591515,72.63905687,0.188,20.95603667,0.108,0.446551333,1.5,197
5092.558889,209.3104824,60.80767516,0.416,16.89202333,0.0205,0.306951,2,198
1465.134333,413.9497099,144.6966296,0.241,16.87551,298.6,0.714931333,4,199
15.62066667,576.2976861,256.071017,0.271666667,8.83615,29.16857143,0.5253855,10,200
1.457,450.5745476114,230.4565716738,0.922,12.52705333,70.08,0.724368667,2,201
597.4583333,202.4219014,89.54599344,0.378666667,30.49351667,26.34,0.579852,1,202
48.4028,298.3543417,32.31734528,0.6275,16.864825,5.89762728573,0.3363415,0.02,203
182.82875,511.1111111,28.49661227,0.276666667,10.33451,0.049,0.597645,0.7,204
2019.212333,95.47596212,83.86108313,0.839666667,22.16338333,1.62,0.285741,3,205
6960.00045679894,314.0850604974,70.9069740482,0.36979499999,12.4648268617,2.02565867531,0.63624078648,1,206
309.398,354.9883991,494.5086911,2.041,8.73214,21.47,0.647262333,2,207
1969.21202274169,308.8790764514,69.6026782334,0.36638166665,12.41824552833,3.17178776682,0.63297537648,0.8,208
113.234,192.0841353632,68.2784597773,0.196,20.6878350825,1.09539391341,0.417565,0.15,209
156.0956757,227.0124617,49.64903715,0.4715,14.4784,0.362,0.481044,1.5,210
2340.593889,528.7267081,140.776237,0.2195,17.172505,587.98,0.535495,25,211
521.781,220.9041598,146.9326531,0.794,14.53914,0.208,0.404208333,1,212
678.1185,234.8980548,92.16678206,0.42575,21.3239125,0.104,0.55370675,1.5,213
608.711,334.1140567,102.4021799,0.42925,11.7116725,0.167,0.572685667,1,214
2546.289091,288.9954439,51.26034869,0.128,22.01095333,8.7,0.736673333,3,215
1869.077,374.21875,256.2762262,0.622,8.98356,0.985,0.661846,1.5,216
2371.9509551801,238.15008951,72.5957857336,0.32547666665,19.96332714467,1.025,0.57635357002,0.5,217
3237.748182,227.0695061,132.851283,0.279333333,14.22434333,0.866666667,0.50401385167,0.3,218
13382.719,172.5948126,110.8590364,0.295,22.04823,1.952,0.453708,0.5,219
